loan id,original interest rate,original UPB,original loan term,original LTV ratio,debt to income,original list price,Current Loan Delinquency Status,delinquent
110993696358,5.125,78000.0,360,93,40.0,,1,True
111108474129,5.0,325000.0,360,23,45.0,,0,False
111297783795,4.625,300000.0,360,26,20.0,,0,False
111420657393,4.75,638000.0,360,85,43.0,,0,False
111529134686,5.25,449000.0,360,90,50.0,,0,False
111581688992,5.5,145000.0,360,79,49.0,,0,False
111620628671,4.25,340000.0,180,60,50.0,,0,False
111760757611,5.25,240000.0,360,80,40.0,,3,True
112048668553,5.125,157000.0,360,95,43.0,,3,True
112163215658,4.625,152000.0,360,95,41.0,,0,False
112299080565,4.75,176000.0,360,80,41.0,,0,False
112306498873,4.75,285000.0,360,17,45.0,,0,False
112314854829,4.875,425000.0,180,46,15.0,,0,False
112952194667,4.5,306000.0,360,44,48.0,,0,False
113016147328,5.25,624000.0,360,80,49.0,,0,False
113174513252,4.875,335000.0,360,80,28.0,,0,False
113262033691,5.125,250000.0,360,94,30.0,,0,False
113322179624,4.875,138000.0,360,97,33.0,,1,True
113368551177,4.5,519000.0,360,49,44.0,,2,True
113477445165,5.5,126000.0,360,97,48.0,,0,False
113482583159,5.5,236000.0,360,70,48.0,,0,False
113529162699,5.25,200000.0,360,97,44.0,,0,False
113621663565,5.125,555000.0,360,75,49.0,,5,True
113800078989,4.875,464000.0,360,75,48.0,,0,False
114027507562,4.75,295000.0,360,36,50.0,,7,True
114116960733,5.0,320000.0,360,64,48.0,,0,False
114280285478,4.875,257000.0,360,95,49.0,,0,False
114320961530,6.125,125000.0,360,80,40.0,,0,False
114487799708,4.5,195000.0,180,80,36.0,,0,False
114532092322,5.375,152000.0,360,95,46.0,,0,False
114631577472,5.125,230000.0,180,59,28.0,,0,False
114675420693,4.75,328000.0,360,80,29.0,,0,False
114705329918,4.875,138000.0,360,95,45.0,,0,False
114811685726,4.5,85000.0,360,95,36.0,,1,True
114863583649,4.75,165000.0,240,75,41.0,,1,True
114907826217,5.75,615000.0,360,75,38.0,,1,True
114998527021,4.875,152000.0,360,88,49.0,,0,False
115087264298,5.125,727000.0,360,77,48.0,,0,False
115137981170,5.625,280000.0,360,79,46.0,,0,False
115255090839,5.125,323000.0,360,70,48.0,,0,False
115269447441,4.25,140000.0,180,66,20.0,,0,False
115328030961,5.125,236000.0,360,80,38.0,,0,False
115447085507,4.625,247000.0,360,97,50.0,,1,True
115633529748,3.875,200000.0,180,48,40.0,,0,False
115774298373,5.99,63000.0,360,53,49.0,,0,False
115855848126,5.125,252000.0,360,90,48.0,,0,False
115900026150,4.5,150000.0,360,49,47.0,,0,False
115942965529,5.25,240000.0,360,80,50.0,,7,True
116060004112,5.25,190000.0,360,56,41.0,,0,False
116085192088,4.99,100000.0,120,14,38.0,,0,False
116093217792,4.875,216000.0,360,80,41.0,,0,False
116121833311,4.625,119000.0,360,95,33.0,,0,False
116437346698,5.5,513000.0,360,95,44.0,,3,True
116453807071,4.75,54000.0,180,80,32.0,,0,False
116548156936,4.25,100000.0,96,19,23.0,,12,True
116800044061,4.875,390000.0,360,67,46.0,,0,False
116851035785,4.875,105000.0,360,90,35.0,,0,False
116999838073,4.125,353000.0,360,85,24.0,,0,False
117009114303,5.375,65000.0,360,9,45.0,,0,False
117086536704,5.625,182000.0,360,70,37.0,,3,True
